Date;RedCode;Country;AvRating;Tier;Currency;DocClause;RunningCoupon;PrimaryCoupon;Tenor;convspread;bondspread;;;;Data;spread
01/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00889561;1,027;;;;01/01/2020;1,027
02/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00921849;1,075;;;;02/01/2020;1,075
03/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00931944;1,067;;;;03/01/2020;1,067
06/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00923941;1,079;;;;06/01/2020;1,079
07/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00932909;1,114;;;;07/01/2020;1,114
08/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00935552;1,098;;;;08/01/2020;1,098
09/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00904206;1,055;;;;09/01/2020;1,055
10/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00858046;1,041;;;;10/01/2020;1,041
13/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00864788;1,059;;;;13/01/2020;1,059
14/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00855434;1,059;;;;14/01/2020;1,059
15/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00872873;1,073;;;;15/01/2020;1,073
16/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00892531;1,14;;;;16/01/2020;1,14
17/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00877813;1,108;;;;17/01/2020;1,108
20/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00862447;1,087;;;;20/01/2020;1,087
21/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00886756;1,121;;;;21/01/2020;1,121
22/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.0093295;1,126;;;;22/01/2020;1,126
23/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00880326;1,071;;;;23/01/2020;1,071
24/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.0087633;1,071;;;;24/01/2020;1,071
27/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00817111;0,942;;;;27/01/2020;0,942
28/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00797814;0,916;;;;28/01/2020;0,916
29/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00776131;0,876;;;;29/01/2020;0,876
30/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00781879;0,863;;;;30/01/2020;0,863
31/01/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00759077;0,873;;;;31/01/2020;0,873
03/02/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00765589;0,902;;;;03/02/2020;0,902
04/02/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00741005;0,861;;;;04/02/2020;0,861
05/02/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00694725;0,838;;;;05/02/2020;0,838
06/02/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00691631;0,847;;;;06/02/2020;0,847
07/02/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00700287;0,831;;;;07/02/2020;0,831
10/02/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00714409;0,85;;;;10/02/2020;0,85
11/02/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00708753;0,835;;;;11/02/2020;0,835
12/02/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00682982;0,793;;;;12/02/2020;0,793
13/02/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00684644;0,776;;;;13/02/2020;0,776
14/02/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00702696;0,829;;;;14/02/2020;0,829
17/02/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00696131;0,821;;;;17/02/2020;0,821
18/02/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.0070399;0,832;;;;18/02/2020;0,832
19/02/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00703066;0,857;;;;19/02/2020;0,857
20/02/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00705493;0,836;;;;20/02/2020;0,836
21/02/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00713601;0,82;;;;21/02/2020;0,82
24/02/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00811713;0,927;;;;24/02/2020;0,927
25/02/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00845005;0,965;;;;25/02/2020;0,965
26/02/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.0086616;0,975;;;;26/02/2020;0,975
27/02/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.00979787;1,108;;;;27/02/2020;1,108
28/02/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.01147641;1,196;;;;28/02/2020;1,196
02/03/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.01180688;1,249;;;;02/03/2020;1,249
03/03/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.0107702;1,131;;;;03/03/2020;1,131
04/03/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.01087175;1,182;;;;04/03/2020;1,182
05/03/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.01132174;1,271;;;;05/03/2020;1,271
06/03/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.01245036;1,338;;;;06/03/2020;1,338
09/03/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.01738478;1,863;;;;07/03/2020;1,292
10/03/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.01687866;1,779;;;;09/03/2020;1,863
11/03/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.01627067;1,545;;;;10/03/2020;1,779
12/03/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.01963807;2,151;;;;11/03/2020;1,545
13/03/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.01908682;2,107;;;;12/03/2020;2,151
16/03/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.02110188;2,365;;;;13/03/2020;2,107
17/03/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.02188768;2,619;;;;16/03/2020;2,365
18/03/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.0214186;2,363;;;;17/03/2020;2,619
19/03/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.01599515;1,581;;;;18/03/2020;2,363
20/03/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.01482571;1,509;;;;19/03/2020;1,581
23/03/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.01507223;1,538;;;;20/03/2020;1,509
24/03/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.01410672;1,486;;;;23/03/2020;1,538
25/03/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.01317618;1,422;;;;24/03/2020;1,486
26/03/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.01096391;1,153;;;;25/03/2020;1,422
27/03/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.01180334;1,322;;;;26/03/2020;1,153
30/03/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.0132818;1,486;;;;27/03/2020;1,322
31/03/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.01438296;1,508;;;;30/03/2020;1,486
01/04/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.01474129;1,508;;;;31/03/2020;1,508
02/04/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.01432124;1,448;;;;01/04/2020;1,508
03/04/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.01509436;1,538;;;;02/04/2020;1,448
06/04/2020;4AB951;Italy;BBB;SNRFOR;EUR;CR14;0.05;N;5Y;0.01511515;1,536;;;;03/04/2020;1,538
